"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25035211580000","K2 America Corporation","CBSU  10-14W","Injection, Indian Lands","P&A - Approved","Glacier","Cut Bank","32N-6W","10",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-035-21158-00-00","6/30/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","5/31/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","4/30/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","3/31/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","2/28/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","1/31/1993 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","12/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","11/30/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","10/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","9/30/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","8/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","7/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","6/30/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","5/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","4/30/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","3/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","2/29/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","1/31/1992 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","4/30/1991 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","3/31/1991 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","2/28/1991 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","1/31/1991 12:00:00 AM","Cut Bank","2327","0","0","0","0",
"25-035-21158-00-00","4/30/1987 12:00:00 AM","Cut Bank","2327","2","0","0","30",
"25-035-21158-00-00","3/31/1987 12:00:00 AM","Cut Bank","2327","2","0","0","31",
"25-035-21158-00-00","1/31/1987 12:00:00 AM","Cut Bank","2327","2","0","0","31",
"25-035-21158-00-00","12/31/1986 12:00:00 AM","Cut Bank","2327","3","0","0","31",
"25-035-21158-00-00","11/30/1986 12:00:00 AM","Cut Bank","2327","2","0","0","30",
"25-035-21158-00-00","10/31/1986 12:00:00 AM","Cut Bank","2327","3","0","0","31",
"25-035-21158-00-00","9/30/1986 12:00:00 AM","Cut Bank","2327","3","0","0","30",
"25-035-21158-00-00","8/31/1986 12:00:00 AM","Cut Bank","2327","2","0","0","31",
"25-035-21158-00-00","7/31/1986 12:00:00 AM","Cut Bank","2327","3","0","0","31",
"25-035-21158-00-00","6/30/1986 12:00:00 AM","Cut Bank","2327","3","0","0","30",
"25-035-21158-00-00","5/31/1986 12:00:00 AM","Cut Bank","2327","3","0","0","31",
"25-035-21158-00-00","4/30/1986 12:00:00 AM","Cut Bank","2327","2","0","0","30",
"25-035-21158-00-00","3/31/1986 12:00:00 AM","Cut Bank","2327","2","0","0","31",
"25-035-21158-00-00","2/28/1986 12:00:00 AM","Cut Bank","2327","2","0","0","28",
"25-035-21158-00-00","1/31/1986 12:00:00 AM","Cut Bank","2327","2","0","0","31",

