API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-075-22255-00-00,12/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,11/30/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,10/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,9/30/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,8/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,7/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,6/30/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,5/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,4/30/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,3/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,2/29/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,1/31/2004 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,12/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,11/30/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,10/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,9/30/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,8/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,7/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,6/30/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,5/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,4/30/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,3/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,2/28/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,1/31/2003 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,12/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,11/30/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,10/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,9/30/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,8/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,7/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,6/30/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,5/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,4/30/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,3/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,2/28/2002 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
25-075-22255-00-00,1/31/2002 12:00:00 AM,Fort Union Formation,6494,0,0,231,11
25-075-22255-00-00,12/31/2001 12:00:00 AM,Fort Union Formation,6494,0,0,410,31
25-075-22255-00-00,11/30/2001 12:00:00 AM,Fort Union Formation,6494,0,0,0,0
